代表観測地点,時間帯,期間(週次),滞在人口の推定居住地,2019年同週比 [%]
三ノ宮駅,すべての時間帯,2020年1月第1週,市区町村内,0.211572467
三ノ宮駅,すべての時間帯,2020年1月第1週,都道府県内,36.113117096
三ノ宮駅,すべての時間帯,2020年1月第1週,都道府県外,35.753979235
三ノ宮駅,すべての時間帯,2020年1月第2週,市区町村内,-0.935091138
三ノ宮駅,すべての時間帯,2020年1月第2週,都道府県内,13.831000537
三ノ宮駅,すべての時間帯,2020年1月第2週,都道府県外,8.327917811
三ノ宮駅,すべての時間帯,2020年1月第3週,市区町村内,1.113087443
三ノ宮駅,すべての時間帯,2020年1月第3週,都道府県内,16.188740510
三ノ宮駅,すべての時間帯,2020年1月第3週,都道府県外,1.206407995
三ノ宮駅,すべての時間帯,2020年1月第4週,市区町村内,-4.188466860
三ノ宮駅,すべての時間帯,2020年1月第4週,都道府県内,9.605794487
三ノ宮駅,すべての時間帯,2020年1月第4週,都道府県外,10.654055679
三ノ宮駅,すべての時間帯,2020年1月第5週,市区町村内,-1.644793558
三ノ宮駅,すべての時間帯,2020年1月第5週,都道府県内,9.181416346
三ノ宮駅,すべての時間帯,2020年1月第5週,都道府県外,1.889126274
三ノ宮駅,すべての時間帯,2020年2月第1週,市区町村内,-2.412122156
三ノ宮駅,すべての時間帯,2020年2月第1週,都道府県内,9.982295819
三ノ宮駅,すべての時間帯,2020年2月第1週,都道府県外,-11.495888538
三ノ宮駅,すべての時間帯,2020年2月第2週,市区町村内,0.913651735
三ノ宮駅,すべての時間帯,2020年2月第2週,都道府県内,11.715156207
三ノ宮駅,すべての時間帯,2020年2月第2週,都道府県外,-5.747957670
三ノ宮駅,すべての時間帯,2020年2月第3週,市区町村内,-1.548758522
三ノ宮駅,すべての時間帯,2020年2月第3週,都道府県内,10.512716999
三ノ宮駅,すべての時間帯,2020年2月第3週,都道府県外,-7.793412152
三ノ宮駅,すべての時間帯,2020年2月第4週,市区町村内,0.436031821
三ノ宮駅,すべての時間帯,2020年2月第4週,都道府県内,-2.758307723
三ノ宮駅,すべての時間帯,2020年2月第4週,都道府県外,-17.879033219
三ノ宮駅,すべての時間帯,2020年3月第1週,市区町村内,-1.205206091
三ノ宮駅,すべての時間帯,2020年3月第1週,都道府県内,-5.278226332
三ノ宮駅,すべての時間帯,2020年3月第1週,都道府県外,-36.728026065
三ノ宮駅,すべての時間帯,2020年3月第2週,市区町村内,-2.872520313
三ノ宮駅,すべての時間帯,2020年3月第2週,都道府県内,-5.680599388
三ノ宮駅,すべての時間帯,2020年3月第2週,都道府県外,-37.862136404
三ノ宮駅,すべての時間帯,2020年3月第3週,市区町村内,-8.738546135
三ノ宮駅,すべての時間帯,2020年3月第3週,都道府県内,-6.362095831
三ノ宮駅,すべての時間帯,2020年3月第3週,都道府県外,-33.931058754
三ノ宮駅,すべての時間帯,2020年3月第4週,市区町村内,-12.131597466
三ノ宮駅,すべての時間帯,2020年3月第4週,都道府県内,-7.596908034
三ノ宮駅,すべての時間帯,2020年3月第4週,都道府県外,-33.419899027
