ダウンロードした時刻：2021/12/30 16:05:03

,,,大阪,大阪,大阪,大阪,大阪
,,,大阪,大阪,大阪,大阪,大阪
年,月,日,最高気温(℃),最低気温(℃),平均気温(℃),天気概況(昼：06時～18時),天気概況(夜：18時～翌日06時)
,,,,,,,
,,,,,,,
2020,11,1,22.4,11.6,16.8,曇後一時晴,曇一時晴
2020,11,2,17.7,14.7,16.4,雨一時曇,雨後曇
2020,11,3,19.4,11.0,15.3,晴,晴
2020,11,4,17.0,9.8,12.8,晴,晴
2020,11,5,18.3,7.9,13.0,晴,曇一時晴
2020,11,6,20.6,11.5,15.6,曇後晴,曇一時晴
2020,11,7,18.5,14.1,16.7,曇時々雨,雨一時曇後晴
2020,11,8,21.2,14.7,17.6,晴後時々曇,晴時々曇
2020,11,9,17.6,11.1,13.7,晴,晴
2020,11,10,16.5,9.8,12.5,晴後一時曇,晴
2020,11,11,14.8,8.2,11.0,晴一時曇,快晴
2020,11,12,19.2,7.9,12.9,晴一時曇,晴後一時曇
2020,11,13,17.5,11.9,14.8,曇一時雨後時々晴,晴
2020,11,14,20.1,10.3,14.3,快晴,晴
2020,11,15,21.9,9.4,15.3,晴後一時薄曇,晴一時薄曇
2020,11,16,22.0,12.7,17.0,薄曇後時々晴,晴
2020,11,17,22.7,12.3,17.1,快晴,晴後一時曇
2020,11,18,24.2,14.1,18.7,晴後薄曇,薄曇後晴
2020,11,19,26.6,15.1,20.5,晴,曇時々雨
2020,11,20,23.3,16.6,19.9,曇時々雨,曇時々晴
2020,11,21,16.9,10.5,14.3,晴一時曇,快晴
2020,11,22,18.9,9.0,14.5,晴後曇,曇時々雨一時晴
2020,11,23,17.6,10.7,14.4,晴時々曇,快晴
2020,11,24,16.8,8.8,12.4,快晴,晴後一時曇
2020,11,25,15.1,9.8,12.1,曇後一時晴,快晴
2020,11,26,18.6,8.1,13.3,晴,曇時々晴
2020,11,27,18.6,11.5,14.8,晴時々曇,曇時々雨
2020,11,28,15.3,8.6,11.6,晴時々曇,晴時々曇
2020,11,29,14.1,7.0,10.6,晴一時曇,晴
2020,11,30,15.3,7.1,10.7,晴後薄曇,晴一時薄曇
