順位,商品名,価格,市場シェア,リピート率,前回順位,最も購入する年齢層,男性,女性,購入率の高い曜日,購入率の低い曜日,にごり,急須,ブレンド,旨味,渋み
1,健康ミネラルむぎ茶 650ml,77円,7%,28%,2,70代,28%,72%,土曜日,木曜日,0,0,1,0,0
2,お～いお茶 緑茶 525ml,78円,7%,28%,1,70代,29%,71%,火曜日,木曜日,1,0,1,0,0
3,GREEN DAKARA やさしい麦茶 650ml,71円,7%,29%,6,30代,26%,74%,木曜日,火曜日,1,1,1,1,0
4,健康ミネラルむぎ茶 2L,129円,5%,34%,5,70代,28%,72%,土曜日,木曜日,0,0,0,0,1
5,生茶 PET 525ml,71円,5%,25%,8,70代,27%,73%,木曜日,火曜日,1,1,1,1,1
6,お～いお茶 濃い茶 525ml,85円,4%,31%,9,50代,34%,66%,火曜日,木曜日,0,1,1,1,1
7,クラフトボス 抹茶ラテ 500ml,97円,4%,21%,7,40代,29%,71%,土曜日,火曜日,1,0,0,1,1
8,お～いお茶 緑茶 2L,136円,3%,35%,10,70代,35%,65%,土曜日,木曜日,1,1,1,1,1
9,綾鷹 ペコらくボトル 2L,131円,3%,28%,12,50代,32%,68%,日曜日,水曜日,0,1,0,1,0
10,伊右衛門 緑茶 PET 2L,131円,3%,27%,11,50代,32%,68%,日曜日,木曜日,1,0,0,1,0
11,伊右衛門 特茶 500ml,168円,2%,32%,14,40代,30%,70%,火曜日,木曜日,1,0,0,0,1
12,綾鷹 茶葉のあまみ 525ml,73円,2%,23%,16,60代,24%,76%,火曜日,月曜日,0,0,1,1,1
13,綾鷹 茶葉のあまみ 2L,123円,2%,35%,17,50代,31%,69%,月曜日,金曜日,0,0,0,1,0
14,お～いお茶 濃い茶 2L,156円,2%,43%,15,50代,37%,63%,土曜日,木曜日,0,0,1,1,0
15,綾鷹カフェ 抹茶ラテ 440ml,107円,1%,16%,13,,,,,,0,1,1,0,0
16,綾鷹 ほうじ茶 525ml,72円,1%,25%,18,,,,,,1,1,0,1,1
17,生茶 2L,127円,1%,20%,19,,,,,,1,1,1,1,0
18,生茶 ほうじ煎茶 525ml,73円,1%,21%,21,,,,,,0,1,1,0,0
19,GREEN DAKARA やさしい麦茶 2L,139円,1%,30%,20,,,,,,0,0,0,1,1
20,生茶 ライフプラス 免疫アシスト 525ml,96円,1%,18%,34,,,,,,1,0,0,0,0
21,伊右衛門プラス コレステロール対策 ペット 500ml,159円,1%,35%,24,,,,,,0,0,0,1,1
22,伊右衛門プラス おいしい糖質対策 500ml,138円,1%,32%,23,,,,,,1,0,1,0,0
23,やかんの麦茶 from 一 650ml,76円,1%,22%,22,,,,,,0,1,0,0,0
24,伊右衛門 焙じ茶 525ml,72円,1%,15%,27,,,,,,0,0,1,0,0
25,綾鷹 PET 300ml,88円,1%,21%,29,,,,,,1,0,1,1,1
26,お～いお茶 ほうじ茶 525ml,86円,1%,21%,30,,,,,,0,1,0,0,0
27,綾鷹 濃い緑茶 525ml,72円,1%,24%,28,,,,,,0,0,1,1,0
28,健康ミネラルむぎ茶 2L×6,691円,1%,32%,25,,,,,,1,1,0,0,1
29,お～いお茶 炒りたての香り玄米茶 525ml,84円,1%,26%,31,,,,,,0,1,1,0,0
30,綾鷹 特選茶 500ml,165円,1%,28%,32,,,,,,1,0,0,1,1
31,お～いお茶 抹茶入り 525ml,84円,1%,16%,42,,,,,,0,0,1,1,0
32,伊右衛門 特茶 1L,337円,1%,40%,33,,,,,,1,0,0,1,1
33,伊右衛門 濃い味 600ml,77円,0%,23%,36,,,,,,1,1,0,1,0
34,ドトール シーズンカフェ ほうじ茶ラテ 480ml,89円,0%,10%,51,,,,,,1,1,0,0,1
35,やかんの麦茶 from 一 2L,123円,0%,30%,35,,,,,,1,1,0,1,0
36,健康ミネラルむぎ茶 600ml,71円,0%,21%,37,,,,,,1,0,0,0,0
37,お～いお茶 緑茶 350ml,88円,0%,22%,41,,,,,,0,0,0,1,1
38,ヘルシア 緑茶 スリムボトル 350ml,158円,0%,26%,37,,,,,,1,0,0,0,1
