mesh1kmid,prefcode,citycode,year,month,dayflag,timezone,population
52350179,28,28101,2020,1,0,0,6351
52350179,28,28101,2020,1,0,1,8128
52350179,28,28101,2020,1,0,2,7299
52350179,28,28101,2020,1,1,0,6094
52350179,28,28101,2020,1,1,1,7881
52350179,28,28101,2020,1,1,2,6824
52350179,28,28101,2020,1,2,0,6177
52350179,28,28101,2020,1,2,1,7961
52350179,28,28101,2020,1,2,2,6977
52350210,28,28101,2020,1,0,0,111
52350210,28,28101,2020,1,0,1,39
52350210,28,28101,2020,1,0,2,69
52350210,28,28101,2020,1,1,0,310
52350210,28,28101,2020,1,1,1,93
52350210,28,28101,2020,1,1,2,182
52350210,28,28101,2020,1,2,0,246
52350210,28,28101,2020,1,2,1,75
52350210,28,28101,2020,1,2,2,146
52350211,28,28101,2020,1,0,0,745
52350211,28,28101,2020,1,0,1,626
52350211,28,28101,2020,1,0,2,667
52350211,28,28101,2020,1,1,0,1510
52350211,28,28101,2020,1,1,1,659
52350211,28,28101,2020,1,1,2,920
52350211,28,28101,2020,1,2,0,1263
52350211,28,28101,2020,1,2,1,649
52350211,28,28101,2020,1,2,2,839
52350212,28,28101,2020,1,0,0,251
52350212,28,28101,2020,1,0,1,43
52350212,28,28101,2020,1,0,2,164
52350212,28,28101,2020,1,1,0,394
52350212,28,28101,2020,1,1,1,65
52350212,28,28101,2020,1,1,2,217
52350212,28,28101,2020,1,2,0,348
52350212,28,28101,2020,1,2,1,58
52350212,28,28101,2020,1,2,2,200
52350213,28,28101,2020,1,0,0,19
52350220,28,28101,2020,1,0,0,705
52350220,28,28101,2020,1,0,1,313
52350220,28,28101,2020,1,0,2,506
52350220,28,28101,2020,1,1,0,3704
52350220,28,28101,2020,1,1,1,503
52350220,28,28101,2020,1,1,2,1979
52350220,28,28101,2020,1,2,0,2737
52350220,28,28101,2020,1,2,1,442
52350220,28,28101,2020,1,2,2,1504
52350221,28,28101,2020,1,0,0,12106
52350221,28,28101,2020,1,0,1,12423
52350221,28,28101,2020,1,0,2,12221
52350221,28,28101,2020,1,1,0,14018
52350221,28,28101,2020,1,1,1,12116
52350221,28,28101,2020,1,1,2,12686
52350221,28,28101,2020,1,2,0,13401
52350221,28,28101,2020,1,2,1,12215
52350221,28,28101,2020,1,2,2,12536
52350222,28,28101,2020,1,0,0,821
52350222,28,28101,2020,1,0,1,765
52350222,28,28101,2020,1,0,2,747
52350222,28,28101,2020,1,1,0,1565
52350222,28,28101,2020,1,1,1,848
52350222,28,28101,2020,1,1,2,1145
52350222,28,28101,2020,1,2,0,1325
52350222,28,28101,2020,1,2,1,821
52350222,28,28101,2020,1,2,2,1017
52350223,28,28101,2020,1,0,0,18
52350223,28,28101,2020,1,0,1,21
52350223,28,28101,2020,1,0,2,20
52350223,28,28101,2020,1,1,0,37
52350223,28,28101,2020,1,1,1,22
52350223,28,28101,2020,1,1,2,25
52350223,28,28101,2020,1,2,0,31
52350223,28,28101,2020,1,2,1,21
52350223,28,28101,2020,1,2,2,23
52350230,28,28101,2020,1,0,0,593
52350230,28,28101,2020,1,0,1,228
52350230,28,28101,2020,1,0,2,367
52350230,28,28101,2020,1,1,0,1532
52350230,28,28101,2020,1,1,1,383
52350230,28,28101,2020,1,1,2,872
52350230,28,28101,2020,1,2,0,1229
52350230,28,28101,2020,1,2,1,333
52350230,28,28101,2020,1,2,2,709
52350231,28,28101,2020,1,0,0,3804
52350231,28,28101,2020,1,0,1,4786
52350231,28,28101,2020,1,0,2,4287
52350231,28,28101,2020,1,1,0,4121
52350231,28,28101,2020,1,1,1,5006
52350231,28,28101,2020,1,1,2,4460
52350231,28,28101,2020,1,2,0,4019
52350231,28,28101,2020,1,2,1,4935
52350231,28,28101,2020,1,2,2,4404
52350232,28,28101,2020,1,0,0,421
52350232,28,28101,2020,1,0,1,207
52350232,28,28101,2020,1,0,2,333
52350232,28,28101,2020,1,1,0,1648
52350232,28,28101,2020,1,1,1,428
52350232,28,28101,2020,1,1,2,963
52350232,28,28101,2020,1,2,0,1252
52350232,28,28101,2020,1,2,1,357
52350232,28,28101,2020,1,2,2,760
52350233,28,28101,2020,1,1,0,35
52350233,28,28101,2020,1,1,2,17
52350233,28,28101,2020,1,2,0,25
52350233,28,28101,2020,1,2,2,13
52350240,28,28101,2020,1,0,0,1186
52350240,28,28101,2020,1,0,1,525
52350240,28,28101,2020,1,0,2,793
52350240,28,28101,2020,1,1,0,2181
52350240,28,28101,2020,1,1,1,602
52350240,28,28101,2020,1,1,2,1334
52350240,28,28101,2020,1,2,0,1860
52350240,28,28101,2020,1,2,1,578
52350240,28,28101,2020,1,2,2,1159
52350241,28,28101,2020,1,0,0,2320
52350241,28,28101,2020,1,0,1,2224
52350241,28,28101,2020,1,0,2,2244
52350241,28,28101,2020,1,1,0,3156
52350241,28,28101,2020,1,1,1,2430
52350241,28,28101,2020,1,1,2,2776
52350241,28,28101,2020,1,2,0,2886
52350241,28,28101,2020,1,2,1,2364
52350241,28,28101,2020,1,2,2,2605
52350242,28,28101,2020,1,0,0,876
52350242,28,28101,2020,1,0,1,220
52350242,28,28101,2020,1,0,2,556
52350242,28,28101,2020,1,1,0,3463
52350242,28,28101,2020,1,1,1,427
52350242,28,28101,2020,1,1,2,1794
52350242,28,28101,2020,1,2,0,2628
52350242,28,28101,2020,1,2,1,360
52350242,28,28101,2020,1,2,2,1395
52350243,28,28101,2020,1,0,0,206
52350243,28,28101,2020,1,0,1,71
52350243,28,28101,2020,1,0,2,134
52350243,28,28101,2020,1,1,0,1025
52350243,28,28101,2020,1,1,1,185
52350243,28,28101,2020,1,1,2,569
52350243,28,28101,2020,1,2,0,761
52350243,28,28101,2020,1,2,1,149
52350243,28,28101,2020,1,2,2,429
52350250,28,28101,2020,1,0,0,19323
52350250,28,28101,2020,1,0,1,19191
52350250,28,28101,2020,1,0,2,19365
52350250,28,28101,2020,1,1,0,17388
52350250,28,28101,2020,1,1,1,19421
52350250,28,28101,2020,1,1,2,18662
52350250,28,28101,2020,1,2,0,18012
52350250,28,28101,2020,1,2,1,19347
52350250,28,28101,2020,1,2,2,18889
52350251,28,28101,2020,1,0,0,14591
52350251,28,28101,2020,1,0,1,17249
52350251,28,28101,2020,1,0,2,15924
52350251,28,28101,2020,1,1,0,12094
52350251,28,28101,2020,1,1,1,16777
52350251,28,28101,2020,1,1,2,14686
52350251,28,28101,2020,1,2,0,12899
52350251,28,28101,2020,1,2,1,16929
52350251,28,28101,2020,1,2,2,15086
52350252,28,28101,2020,1,0,0,8643
52350252,28,28101,2020,1,0,1,9141
52350252,28,28101,2020,1,0,2,8781
52350252,28,28101,2020,1,1,0,6596
52350252,28,28101,2020,1,1,1,8696
52350252,28,28101,2020,1,1,2,7676
52350252,28,28101,2020,1,2,0,7256
52350252,28,28101,2020,1,2,1,8840
52350252,28,28101,2020,1,2,2,8032
52350253,28,28101,2020,1,0,0,2074
52350253,28,28101,2020,1,0,1,980
52350253,28,28101,2020,1,0,2,1453
52350253,28,28101,2020,1,1,0,4715
52350253,28,28101,2020,1,1,1,1087
52350253,28,28101,2020,1,1,2,2683
52350253,28,28101,2020,1,2,0,3863
52350253,28,28101,2020,1,2,1,1052
52350253,28,28101,2020,1,2,2,2286
52350260,28,28101,2020,1,0,0,20205
52350260,28,28101,2020,1,0,1,20176
52350260,28,28101,2020,1,0,2,20227
52350260,28,28101,2020,1,1,0,17945
52350260,28,28101,2020,1,1,1,19619
52350260,28,28101,2020,1,1,2,19187
52350260,28,28101,2020,1,2,0,18674
52350260,28,28101,2020,1,2,1,19799
52350260,28,28101,2020,1,2,2,19523
52350261,28,28101,2020,1,0,0,16815
52350261,28,28101,2020,1,0,1,18528
52350261,28,28101,2020,1,0,2,17733
52350261,28,28101,2020,1,1,0,13707
52350261,28,28101,2020,1,1,1,18244
52350261,28,28101,2020,1,1,2,16100
52350261,28,28101,2020,1,2,0,14709
52350261,28,28101,2020,1,2,1,18335
52350261,28,28101,2020,1,2,2,16627
52350262,28,28101,2020,1,0,0,18895
52350262,28,28101,2020,1,0,1,23089
52350262,28,28101,2020,1,0,2,21176
52350262,28,28101,2020,1,1,0,14879
52350262,28,28101,2020,1,1,1,22591
52350262,28,28101,2020,1,1,2,18751
52350262,28,28101,2020,1,2,0,16175
52350262,28,28101,2020,1,2,1,22752
52350262,28,28101,2020,1,2,2,19533
52350263,28,28101,2020,1,0,0,11467
52350263,28,28101,2020,1,0,1,13605
52350263,28,28101,2020,1,0,2,12553
52350263,28,28101,2020,1,1,0,11640
52350263,28,28101,2020,1,1,1,13768
52350263,28,28101,2020,1,1,2,12586
52350263,28,28101,2020,1,2,0,11584
52350263,28,28101,2020,1,2,1,13715
52350263,28,28101,2020,1,2,2,12576
52350270,28,28101,2020,1,0,0,5166
52350270,28,28101,2020,1,0,1,6085
52350270,28,28101,2020,1,0,2,5672
52350270,28,28101,2020,1,1,0,4716
52350270,28,28101,2020,1,1,1,5955
52350270,28,28101,2020,1,1,2,5299
52350270,28,28101,2020,1,2,0,4861
52350270,28,28101,2020,1,2,1,5997
52350270,28,28101,2020,1,2,2,5420
52350271,28,28101,2020,1,0,0,9943
52350271,28,28101,2020,1,0,1,9760
52350271,28,28101,2020,1,0,2,9658
52350271,28,28101,2020,1,1,0,13629
52350271,28,28101,2020,1,1,1,9795
52350271,28,28101,2020,1,1,2,10862
52350271,28,28101,2020,1,2,0,12440
52350271,28,28101,2020,1,2,1,9784
52350271,28,28101,2020,1,2,2,10474
52350272,28,28101,2020,1,0,0,15518
52350272,28,28101,2020,1,0,1,15077
52350272,28,28101,2020,1,0,2,15434
52350272,28,28101,2020,1,1,0,13678
52350272,28,28101,2020,1,1,1,15029
52350272,28,28101,2020,1,1,2,14745
52350272,28,28101,2020,1,2,0,14271
52350272,28,28101,2020,1,2,1,15044
52350272,28,28101,2020,1,2,2,14968
52350273,28,28101,2020,1,0,0,14562
52350273,28,28101,2020,1,0,1,17589
52350273,28,28101,2020,1,0,2,16246
52350273,28,28101,2020,1,1,0,11466
52350273,28,28101,2020,1,1,1,17565
52350273,28,28101,2020,1,1,2,14633
52350273,28,28101,2020,1,2,0,12464
52350273,28,28101,2020,1,2,1,17573
