大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪
大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪
平均気温(℃),天気概況(昼：06時～18時),天気概況(夜：18時～翌日06時),平均現地気圧(hPa),日照時間(時間),合計全天日射量(MJ/㎡),降水量の合計(mm),降水量の合計(mm),最高気温(℃),最低気温(℃)
18.3,薄曇一時晴,薄曇一時晴,1010.4,8.3,13.98,0,1,23.8,13.8
17.8,曇時々晴,晴後時々薄曇,1007.5,6.1,11.58,0,1,22.4,14.3
16.7,晴,晴,1005.6,8.6,13.6,0,1,21.5,13.3
15.9,晴一時薄曇,快晴,1006.8,9.8,13.88,0,1,21.3,11.8
15.6,曇時々晴,晴一時薄曇,1009.6,5.5,10.18,0,0,20.1,11.6
15.4,薄曇,曇後晴,1009.9,7.9,12.27,0,1,20,10.9
17.4,晴,曇時々晴,1010.4,8,14.08,0,1,21.8,14
19.4,曇,曇後雨,1005.7,1.2,5.75,0.5,0,24,16.7
15.3,雨時々曇,晴一時曇,998.5,0,2.9,27.5,0,18.3,13.5
14.4,晴時々曇一時雨,曇時々雨一時晴,997.2,3.7,10.01,2,0,17.5,10.6
12.9,雨一時曇,曇一時晴後一時雨,1000.1,0.5,3.44,14,0,15.3,11
12.4,曇時々晴一時雨,晴,1004.4,3.8,10.04,1,0,16.9,9.4
12.1,晴,曇,1009.7,8.8,13.77,0,1,16.6,7.9
13.4,晴一時曇,快晴,1009.7,5.3,8.79,0,1,17.8,10.2
14.2,晴後一時曇,晴一時曇,1010,9.2,12.84,0,1,18.9,9
14.5,晴後薄曇,晴一時薄曇,1011.1,8.1,11.94,0,1,18.9,10.1
14.2,晴,曇一時晴,1011.9,9.4,13.2,0,1,19,10.4
14.1,曇後晴,晴時々薄曇,1009.3,6.5,10.4,0,1,19.3,10.6
14.2,晴一時薄曇,晴時々曇,1007.9,8.7,11.35,0,1,19.3,9.8
14.7,晴,晴後一時薄曇,1009.5,7.6,11.18,0,1,20.8,10
14.6,曇,曇一時晴,1010,6.2,9.69,0,1,19,10.1
14.8,大雨,曇一時雨後晴,998.8,0,1.41,33.5,0,16.8,12.3
10.6,晴時々曇後一時雨,晴一時曇,1002.7,5.3,9.2,0,0,12.9,8.2
11.3,晴,曇一時晴,1006.3,7.3,12.08,0,1,14.5,8.9
14,晴後時々曇,曇後時々晴,1006.9,5.4,11.12,0,0,17.4,9.9
14.1,晴,晴後時々曇,1009.7,9,12.07,0,0,17.8,11
9.2,晴一時曇,晴,1018.4,6.4,10.42,0,0,13.1,6.5
9.3,晴,晴一時薄曇,1022.7,8.7,12.69,0,1,14.6,5.1
9.6,晴,晴,1019.2,9.6,12.69,0,1,15.3,4.6
13.5,晴後曇,大雨時々曇,1006.9,5.6,10.39,20,0,20.9,7.3
