Day,天気概況(昼06時～18時),天気概況(夜18時～翌日06時),平均現地気圧(hPa),日照時間(時間),合計全天日射量(MJ/㎡),降水量の合計(mm),降水量の合計(mm),最高気温,最低気温,平均気温(℃)
2021/11/1,薄曇一時晴,薄曇一時晴,1010.4,8.3,13.98,0,1,23.8,13.8,18.3
2021/11/2,曇時々晴,晴後時々薄曇,1007.5,6.1,11.58,0,1,22.4,14.3,17.8
2021/11/3,晴,晴,1005.6,8.6,13.6,0,1,21.5,13.3,16.7
2021/11/4,晴一時薄曇,快晴,1006.8,9.8,13.88,0,1,21.3,11.8,15.9
2021/11/5,曇時々晴,晴一時薄曇,1009.6,5.5,10.18,0,0,20.1,11.6,15.6
2021/11/6,薄曇,曇後晴,1009.9,7.9,12.27,0,1,20,10.9,15.4
2021/11/7,晴,曇時々晴,1010.4,8,14.08,0,1,21.8,14,17.4
2021/11/8,曇,曇後雨,1005.7,1.2,5.75,0.5,0,24,16.7,19.4
2021/11/9,雨時々曇,晴一時曇,998.5,0,2.9,27.5,0,18.3,13.5,15.3
2021/11/10,晴時々曇一時雨,曇時々雨一時晴,997.2,3.7,10.01,2,0,17.5,10.6,14.4
2021/11/11,雨一時曇,曇一時晴後一時雨,1000.1,0.5,3.44,14,0,15.3,11,12.9
2021/11/12,曇時々晴一時雨,晴,1004.4,3.8,10.04,1,0,16.9,9.4,12.4
2021/11/13,晴,曇,1009.7,8.8,13.77,0,1,16.6,7.9,12.1
2021/11/14,晴一時曇,快晴,1009.7,5.3,8.79,0,1,17.8,10.2,13.4
2021/11/15,晴後一時曇,晴一時曇,1010,9.2,12.84,0,1,18.9,9,14.2
2021/11/16,晴後薄曇,晴一時薄曇,1011.1,8.1,11.94,0,1,18.9,10.1,14.5
2021/11/17,晴,曇一時晴,1011.9,9.4,13.2,0,1,19,10.4,14.2
2021/11/18,曇後晴,晴時々薄曇,1009.3,6.5,10.4,0,1,19.3,10.6,14.1
2021/11/19,晴一時薄曇,晴時々曇,1007.9,8.7,11.35,0,1,19.3,9.8,14.2
2021/11/20,晴,晴後一時薄曇,1009.5,7.6,11.18,0,1,20.8,10,14.7
2021/11/21,曇,曇一時晴,1010,6.2,9.69,0,1,19,10.1,14.6
2021/11/22,大雨,曇一時雨後晴,998.8,0,1.41,33.5,0,16.8,12.3,14.8
2021/11/23,晴時々曇後一時雨,晴一時曇,1002.7,5.3,9.2,0,0,12.9,8.2,10.6
2021/11/24,晴,曇一時晴,1006.3,7.3,12.08,0,1,14.5,8.9,11.3
2021/11/25,晴後時々曇,曇後時々晴,1006.9,5.4,11.12,0,0,17.4,9.9,14
2021/11/26,晴,晴後時々曇,1009.7,9,12.07,0,0,17.8,11,14.1
2021/11/27,晴一時曇,晴,1018.4,6.4,10.42,0,0,13.1,6.5,9.2
2021/11/28,晴,晴一時薄曇,1022.7,8.7,12.69,0,1,14.6,5.1,9.3
2021/11/29,晴,晴,1019.2,9.6,12.69,0,1,15.3,4.6,9.6
2021/11/30,晴後曇,大雨時々曇,1006.9,5.6,10.39,20,0,20.9,7.3,13.5
