代表観測地点,時間帯,期間(週次),滞在人口の推定居住地,2019年同週比 [%]
三宮駅,すべての時間帯,2020年1月第1週,市区町村内,6.070016544
三宮駅,すべての時間帯,2020年1月第1週,都道府県内,32.299314188
三宮駅,すべての時間帯,2020年1月第1週,都道府県外,34.962201314
三宮駅,すべての時間帯,2020年1月第2週,市区町村内,3.783393563
三宮駅,すべての時間帯,2020年1月第2週,都道府県内,14.228257901
三宮駅,すべての時間帯,2020年1月第2週,都道府県外,11.386573435
三宮駅,すべての時間帯,2020年1月第3週,市区町村内,4.821602552
三宮駅,すべての時間帯,2020年1月第3週,都道府県内,16.285696887
三宮駅,すべての時間帯,2020年1月第3週,都道府県外,2.330484321
三宮駅,すべての時間帯,2020年1月第4週,市区町村内,-2.344417569
三宮駅,すべての時間帯,2020年1月第4週,都道府県内,10.238477505
三宮駅,すべての時間帯,2020年1月第4週,都道府県外,9.531808123
三宮駅,すべての時間帯,2020年1月第5週,市区町村内,0.787420104
三宮駅,すべての時間帯,2020年1月第5週,都道府県内,10.828555708
三宮駅,すべての時間帯,2020年1月第5週,都道府県外,2.114713410
三宮駅,すべての時間帯,2020年2月第1週,市区町村内,1.821283961
三宮駅,すべての時間帯,2020年2月第1週,都道府県内,10.480724371
三宮駅,すべての時間帯,2020年2月第1週,都道府県外,-9.047129423
三宮駅,すべての時間帯,2020年2月第2週,市区町村内,5.566082330
三宮駅,すべての時間帯,2020年2月第2週,都道府県内,12.461873808
三宮駅,すべての時間帯,2020年2月第2週,都道府県外,-5.100875038
三宮駅,すべての時間帯,2020年2月第3週,市区町村内,3.129844892
三宮駅,すべての時間帯,2020年2月第3週,都道府県内,10.708328218
三宮駅,すべての時間帯,2020年2月第3週,都道府県外,-4.701976600
三宮駅,すべての時間帯,2020年2月第4週,市区町村内,1.001248689
三宮駅,すべての時間帯,2020年2月第4週,都道府県内,-1.486734218
三宮駅,すべての時間帯,2020年2月第4週,都道府県外,-14.160168446
三宮駅,すべての時間帯,2020年3月第1週,市区町村内,0.464591737
