代表観測地点,時間帯,期間(週次),滞在人口の推定居住地,2019年同週比 [%]
兵庫県全体,すべての時間帯,2020年1月第1週,市区町村内,-2.557605375
兵庫県全体,すべての時間帯,2020年1月第1週,都道府県内,3.441212425
兵庫県全体,すべての時間帯,2020年1月第1週,都道府県外,20.090238195
兵庫県全体,すべての時間帯,2020年1月第2週,市区町村内,-1.001717852
兵庫県全体,すべての時間帯,2020年1月第2週,都道府県内,-0.492769623
兵庫県全体,すべての時間帯,2020年1月第2週,都道府県外,23.569044071
兵庫県全体,すべての時間帯,2020年1月第3週,市区町村内,-1.615469537
兵庫県全体,すべての時間帯,2020年1月第3週,都道府県内,1.295086378
兵庫県全体,すべての時間帯,2020年1月第3週,都道府県外,21.816513087
兵庫県全体,すべての時間帯,2020年1月第4週,市区町村内,-1.239820178
兵庫県全体,すべての時間帯,2020年1月第4週,都道府県内,0.491972655
兵庫県全体,すべての時間帯,2020年1月第4週,都道府県外,21.876086243
兵庫県全体,すべての時間帯,2020年1月第5週,市区町村内,-0.862076337
兵庫県全体,すべての時間帯,2020年1月第5週,都道府県内,0.012816825
兵庫県全体,すべての時間帯,2020年1月第5週,都道府県外,16.311769718
兵庫県全体,すべての時間帯,2020年2月第1週,市区町村内,0.822371994
兵庫県全体,すべての時間帯,2020年2月第1週,都道府県内,-0.339014518
兵庫県全体,すべての時間帯,2020年2月第1週,都道府県外,-9.018262089
兵庫県全体,すべての時間帯,2020年2月第2週,市区町村内,1.094508642
兵庫県全体,すべての時間帯,2020年2月第2週,都道府県内,-1.773173338
兵庫県全体,すべての時間帯,2020年2月第2週,都道府県外,-7.014387168
兵庫県全体,すべての時間帯,2020年2月第3週,市区町村内,0.663262366
兵庫県全体,すべての時間帯,2020年2月第3週,都道府県内,-1.593917778
兵庫県全体,すべての時間帯,2020年2月第3週,都道府県外,-2.743845884
兵庫県全体,すべての時間帯,2020年2月第4週,市区町村内,3.934736382
兵庫県全体,すべての時間帯,2020年2月第4週,都道府県内,-10.127257900
兵庫県全体,すべての時間帯,2020年2月第4週,都道府県外,-6.749277067
兵庫県全体,すべての時間帯,2020年3月第1週,市区町村内,3.999271169
兵庫県全体,すべての時間帯,2020年3月第1週,都道府県内,-7.968489359
兵庫県全体,すべての時間帯,2020年3月第1週,都道府県外,-16.473517100
兵庫県全体,すべての時間帯,2020年3月第2週,市区町村内,4.991181665
兵庫県全体,すべての時間帯,2020年3月第2週,都道府県内,-10.393595605
兵庫県全体,すべての時間帯,2020年3月第2週,都道府県外,-21.337425297
兵庫県全体,すべての時間帯,2020年3月第3週,市区町村内,3.531882728
兵庫県全体,すべての時間帯,2020年3月第3週,都道府県内,-7.374708828
兵庫県全体,すべての時間帯,2020年3月第3週,都道府県外,-18.667028364
兵庫県全体,すべての時間帯,2020年3月第4週,市区町村内,4.610556338
兵庫県全体,すべての時間帯,2020年3月第4週,都道府県内,-8.451717409
兵庫県全体,すべての時間帯,2020年3月第4週,都道府県外,-25.050063271
兵庫県全体,すべての時間帯,2020年4月第1週,市区町村内,5.283473067
兵庫県全体,すべての時間帯,2020年4月第1週,都道府県内,-10.445856445
兵庫県全体,すべての時間帯,2020年4月第1週,都道府県外,-19.689056933
兵庫県全体,すべての時間帯,2020年4月第2週,市区町村内,11.449736626
兵庫県全体,すべての時間帯,2020年4月第2週,都道府県内,-25.437664172
兵庫県全体,すべての時間帯,2020年4月第2週,都道府県外,-46.770826771
兵庫県全体,すべての時間帯,2020年4月第3週,市区町村内,13.281001118
兵庫県全体,すべての時間帯,2020年4月第3週,都道府県内,-29.931102122
兵庫県全体,すべての時間帯,2020年4月第3週,都道府県外,-45.106054858
兵庫県全体,すべての時間帯,2020年4月第4週,市区町村内,15.741135250
兵庫県全体,すべての時間帯,2020年4月第4週,都道府県内,-33.702985655
兵庫県全体,すべての時間帯,2020年4月第4週,都道府県外,-51.896192987
兵庫県全体,すべての時間帯,2020年4月第5週,市区町村内,18.078835733
兵庫県全体,すべての時間帯,2020年4月第5週,都道府県内,-30.142303927
兵庫県全体,すべての時間帯,2020年4月第5週,都道府県外,-79.550292907
兵庫県全体,すべての時間帯,2020年5月第1週,市区町村内,20.583462167
兵庫県全体,すべての時間帯,2020年5月第1週,都道府県内,-52.850333805
兵庫県全体,すべての時間帯,2020年5月第1週,都道府県外,-76.650141061
兵庫県全体,すべての時間帯,2020年5月第2週,市区町村内,14.607404629
兵庫県全体,すべての時間帯,2020年5月第2週,都道府県内,-30.748696616
兵庫県全体,すべての時間帯,2020年5月第2週,都道府県外,-54.457354074
兵庫県全体,すべての時間帯,2020年5月第3週,市区町村内,12.862951136
兵庫県全体,すべての時間帯,2020年5月第3週,都道府県内,-25.073526450
兵庫県全体,すべての時間帯,2020年5月第3週,都道府県外,-50.677017057
兵庫県全体,すべての時間帯,2020年5月第4週,市区町村内,10.807679230
