代表観測地点,時間帯,期間(週次),滞在人口の推定居住地,2019年同週比 [%]
大阪府全体,すべての時間帯,2020年1月第1週,市区町村内,-2.866858888
大阪府全体,すべての時間帯,2020年1月第1週,都道府県内,7.328736415
大阪府全体,すべての時間帯,2020年1月第1週,都道府県外,30.866112069
大阪府全体,すべての時間帯,2020年1月第2週,市区町村内,0.202601310
大阪府全体,すべての時間帯,2020年1月第2週,都道府県内,-0.503197458
大阪府全体,すべての時間帯,2020年1月第2週,都道府県外,28.171982108
大阪府全体,すべての時間帯,2020年1月第3週,市区町村内,-0.494222155
大阪府全体,すべての時間帯,2020年1月第3週,都道府県内,1.888248070
大阪府全体,すべての時間帯,2020年1月第3週,都道府県外,30.243017739
大阪府全体,すべての時間帯,2020年1月第4週,市区町村内,0.024313816
大阪府全体,すべての時間帯,2020年1月第4週,都道府県内,0.401482163
大阪府全体,すべての時間帯,2020年1月第4週,都道府県外,26.182387212
大阪府全体,すべての時間帯,2020年1月第5週,市区町村内,0.212426720
大阪府全体,すべての時間帯,2020年1月第5週,都道府県内,-0.186914075
大阪府全体,すべての時間帯,2020年1月第5週,都道府県外,22.351964183
大阪府全体,すべての時間帯,2020年2月第1週,市区町村内,1.481573177
大阪府全体,すべての時間帯,2020年2月第1週,都道府県内,-0.029563504
大阪府全体,すべての時間帯,2020年2月第1週,都道府県外,-0.615651391
大阪府全体,すべての時間帯,2020年2月第2週,市区町村内,1.985610536
大阪府全体,すべての時間帯,2020年2月第2週,都道府県内,-1.925364231
大阪府全体,すべての時間帯,2020年2月第2週,都道府県外,3.450287797
大阪府全体,すべての時間帯,2020年2月第3週,市区町村内,1.004442646
大阪府全体,すべての時間帯,2020年2月第3週,都道府県内,-1.471874135
大阪府全体,すべての時間帯,2020年2月第3週,都道府県外,1.699870819
大阪府全体,すべての時間帯,2020年2月第4週,市区町村内,4.712626911
大阪府全体,すべての時間帯,2020年2月第4週,都道府県内,-10.142145831
大阪府全体,すべての時間帯,2020年2月第4週,都道府県外,-7.930356679
大阪府全体,すべての時間帯,2020年3月第1週,市区町村内,4.997028431
大阪府全体,すべての時間帯,2020年3月第1週,都道府県内,-8.526434041
大阪府全体,すべての時間帯,2020年3月第1週,都道府県外,-16.080830647
大阪府全体,すべての時間帯,2020年3月第2週,市区町村内,6.102051498
大阪府全体,すべての時間帯,2020年3月第2週,都道府県内,-10.877110001
大阪府全体,すべての時間帯,2020年3月第2週,都道府県外,-20.800820475
大阪府全体,すべての時間帯,2020年3月第3週,市区町村内,4.601656725
大阪府全体,すべての時間帯,2020年3月第3週,都道府県内,-9.347282702
大阪府全体,すべての時間帯,2020年3月第3週,都道府県外,-18.339655645
大阪府全体,すべての時間帯,2020年3月第4週,市区町村内,6.044758044
大阪府全体,すべての時間帯,2020年3月第4週,都道府県内,-9.618750752
大阪府全体,すべての時間帯,2020年3月第4週,都道府県外,-19.152471949
大阪府全体,すべての時間帯,2020年4月第1週,市区町村内,7.408837934
大阪府全体,すべての時間帯,2020年4月第1週,都道府県内,-13.749763838
大阪府全体,すべての時間帯,2020年4月第1週,都道府県外,-16.834278616
大阪府全体,すべての時間帯,2020年4月第2週,市区町村内,15.477710533
大阪府全体,すべての時間帯,2020年4月第2週,都道府県内,-30.716661118
大阪府全体,すべての時間帯,2020年4月第2週,都道府県外,-44.037956206
大阪府全体,すべての時間帯,2020年4月第3週,市区町村内,16.606410730
大阪府全体,すべての時間帯,2020年4月第3週,都道府県内,-34.320802040
大阪府全体,すべての時間帯,2020年4月第3週,都道府県外,-47.305619200
大阪府全体,すべての時間帯,2020年4月第4週,市区町村内,19.433518064
大阪府全体,すべての時間帯,2020年4月第4週,都道府県内,-37.549958835
大阪府全体,すべての時間帯,2020年4月第4週,都道府県外,-53.476643164
大阪府全体,すべての時間帯,2020年4月第5週,市区町村内,20.264713448
大阪府全体,すべての時間帯,2020年4月第5週,都道府県内,-22.989925002
大阪府全体,すべての時間帯,2020年4月第5週,都道府県外,-68.329948958
大阪府全体,すべての時間帯,2020年5月第1週,市区町村内,24.403276297
大阪府全体,すべての時間帯,2020年5月第1週,都道府県内,-54.935427865
大阪府全体,すべての時間帯,2020年5月第1週,都道府県外,-77.154527259
大阪府全体,すべての時間帯,2020年5月第2週,市区町村内,17.054060892
大阪府全体,すべての時間帯,2020年5月第2週,都道府県内,-32.850371571
大阪府全体,すべての時間帯,2020年5月第2週,都道府県外,-55.366860315
大阪府全体,すべての時間帯,2020年5月第3週,市区町村内,14.502838557
大阪府全体,すべての時間帯,2020年5月第3週,都道府県内,-26.922604346
大阪府全体,すべての時間帯,2020年5月第3週,都道府県外,-52.881002184
大阪府全体,すべての時間帯,2020年5月第4週,市区町村内,12.683812152
大阪府全体,すべての時間帯,2020年5月第4週,都道府県内,-22.773932888
大阪府全体,すべての時間帯,2020年5月第4週,都道府県外,-45.740628526
大阪府全体,すべての時間帯,2020年6月第1週,市区町村内,16.731528683
大阪府全体,すべての時間帯,2020年6月第1週,都道府県内,-29.903254322
大阪府全体,すべての時間帯,2020年6月第1週,都道府県外,-58.603196749
大阪府全体,すべての時間帯,2020年6月第2週,市区町村内,16.168922285
大阪府全体,すべての時間帯,2020年6月第2週,都道府県内,-28.253266094
大阪府全体,すべての時間帯,2020年6月第2週,都道府県外,-55.213332898
大阪府全体,すべての時間帯,2020年6月第3週,市区町村内,8.975380277
大阪府全体,すべての時間帯,2020年6月第3週,都道府県内,-14.003065294
大阪府全体,すべての時間帯,2020年6月第3週,都道府県外,-35.012872949
大阪府全体,すべての時間帯,2020年6月第4週,市区町村内,7.000309395
大阪府全体,すべての時間帯,2020年6月第4週,都道府県内,-9.128122837
大阪府全体,すべての時間帯,2020年6月第4週,都道府県外,-26.507517463
大阪府全体,すべての時間帯,2020年7月第1週,市区町村内,6.430137831
大阪府全体,すべての時間帯,2020年7月第1週,都道府県内,-10.879840709
大阪府全体,すべての時間帯,2020年7月第1週,都道府県外,-20.885214293
大阪府全体,すべての時間帯,2020年7月第2週,市区町村内,7.472801658
大阪府全体,すべての時間帯,2020年7月第2週,都道府県内,-10.509549079
大阪府全体,すべての時間帯,2020年7月第2週,都道府県外,-29.191763830
大阪府全体,すべての時間帯,2020年7月第3週,市区町村内,3.728163606
大阪府全体,すべての時間帯,2020年7月第3週,都道府県内,-2.642966218
大阪府全体,すべての時間帯,2020年7月第3週,都道府県外,-22.110837880
大阪府全体,すべての時間帯,2020年7月第4週,市区町村内,7.337290747
大阪府全体,すべての時間帯,2020年7月第4週,都道府県内,-17.700638773
大阪府全体,すべての時間帯,2020年7月第4週,都道府県外,-26.405628503
大阪府全体,すべての時間帯,2020年7月第5週,市区町村内,6.138214327
大阪府全体,すべての時間帯,2020年7月第5週,都道府県内,-7.722700823
大阪府全体,すべての時間帯,2020年7月第5週,都道府県外,-23.690972750
大阪府全体,すべての時間帯,2020年8月第1週,市区町村内,7.644239690
大阪府全体,すべての時間帯,2020年8月第1週,都道府県内,-7.521180719
大阪府全体,すべての時間帯,2020年8月第1週,都道府県外,-32.417795668
大阪府全体,すべての時間帯,2020年8月第2週,市区町村内,5.541764004
大阪府全体,すべての時間帯,2020年8月第2週,都道府県内,1.797327639
大阪府全体,すべての時間帯,2020年8月第2週,都道府県外,-32.356832964
大阪府全体,すべての時間帯,2020年8月第3週,市区町村内,6.397437802
大阪府全体,すべての時間帯,2020年8月第3週,都道府県内,-9.966006231
大阪府全体,すべての時間帯,2020年8月第3週,都道府県外,-25.659597131
大阪府全体,すべての時間帯,2020年8月第4週,市区町村内,5.823989147
大阪府全体,すべての時間帯,2020年8月第4週,都道府県内,-9.810759836
大阪府全体,すべての時間帯,2020年8月第4週,都道府県外,-26.866285002
大阪府全体,すべての時間帯,2020年9月第1週,市区町村内,5.509334862
大阪府全体,すべての時間帯,2020年9月第1週,都道府県内,-11.376292270
大阪府全体,すべての時間帯,2020年9月第1週,都道府県外,-27.361551740
大阪府全体,すべての時間帯,2020年9月第2週,市区町村内,6.418761559
大阪府全体,すべての時間帯,2020年9月第2週,都道府県内,-13.184820610
大阪府全体,すべての時間帯,2020年9月第2週,都道府県外,-34.333801013
大阪府全体,すべての時間帯,2020年9月第3週,市区町村内,2.553222949
大阪府全体,すべての時間帯,2020年9月第3週,都道府県内,-7.843710345
大阪府全体,すべての時間帯,2020年9月第3週,都道府県外,-25.391041209
大阪府全体,すべての時間帯,2020年9月第4週,市区町村内,4.303861924
大阪府全体,すべての時間帯,2020年9月第4週,都道府県内,-15.973048350
大阪府全体,すべての時間帯,2020年9月第4週,都道府県外,-26.471205268
大阪府全体,すべての時間帯,2020年10月第1週,市区町村内,6.137636752
大阪府全体,すべての時間帯,2020年10月第1週,都道府県内,-13.703971208
大阪府全体,すべての時間帯,2020年10月第1週,都道府県外,-24.038080512
大阪府全体,すべての時間帯,2020年10月第2週,市区町村内,6.189788062
大阪府全体,すべての時間帯,2020年10月第2週,都道府県内,-13.007181713
大阪府全体,すべての時間帯,2020年10月第2週,都道府県外,-27.799024087
大阪府全体,すべての時間帯,2020年10月第3週,市区町村内,5.067750761
大阪府全体,すべての時間帯,2020年10月第3週,都道府県内,-9.335629366
大阪府全体,すべての時間帯,2020年10月第3週,都道府県外,-28.695673986
大阪府全体,すべての時間帯,2020年10月第4週,市区町村内,4.148088317
大阪府全体,すべての時間帯,2020年10月第4週,都道府県内,-8.151153313
大阪府全体,すべての時間帯,2020年10月第4週,都道府県外,-25.925582438
大阪府全体,すべての時間帯,2020年10月第5週,市区町村内,5.648037062
大阪府全体,すべての時間帯,2020年10月第5週,都道府県内,-10.811995102
大阪府全体,すべての時間帯,2020年10月第5週,都道府県外,-24.250187270
大阪府全体,すべての時間帯,2020年11月第1週,市区町村内,4.903794822
大阪府全体,すべての時間帯,2020年11月第1週,都道府県内,-10.488321546
大阪府全体,すべての時間帯,2020年11月第1週,都道府県外,-22.628610961
大阪府全体,すべての時間帯,2020年11月第2週,市区町村内,3.591728782
大阪府全体,すべての時間帯,2020年11月第2週,都道府県内,-7.208357332
大阪府全体,すべての時間帯,2020年11月第2週,都道府県外,-24.399316824
大阪府全体,すべての時間帯,2020年11月第3週,市区町村内,3.316445274
大阪府全体,すべての時間帯,2020年11月第3週,都道府県内,-8.045366910
大阪府全体,すべての時間帯,2020年11月第3週,都道府県外,-21.967262737
大阪府全体,すべての時間帯,2020年11月第4週,市区町村内,5.582683514
大阪府全体,すべての時間帯,2020年11月第4週,都道府県内,-14.081004783
大阪府全体,すべての時間帯,2020年11月第4週,都道府県外,-28.845990027
大阪府全体,すべての時間帯,2020年12月第1週,市区町村内,5.168998088
大阪府全体,すべての時間帯,2020年12月第1週,都道府県内,-10.858913492
大阪府全体,すべての時間帯,2020年12月第1週,都道府県外,-31.191045992
大阪府全体,すべての時間帯,2020年12月第2週,市区町村内,6.533257347
大阪府全体,すべての時間帯,2020年12月第2週,都道府県内,-13.216972785
大阪府全体,すべての時間帯,2020年12月第2週,都道府県外,-34.070073023
大阪府全体,すべての時間帯,2020年12月第3週,市区町村内,5.782472048
大阪府全体,すべての時間帯,2020年12月第3週,都道府県内,-11.680976447
大阪府全体,すべての時間帯,2020年12月第3週,都道府県外,-33.013502837
大阪府全体,すべての時間帯,2020年12月第4週,市区町村内,5.789174508
大阪府全体,すべての時間帯,2020年12月第4週,都道府県内,-9.716536483
大阪府全体,すべての時間帯,2020年12月第4週,都道府県外,-35.878920924
大阪府全体,すべての時間帯,2020年12月第5週,市区町村内,8.628338662
大阪府全体,すべての時間帯,2020年12月第5週,都道府県内,-4.049837905
大阪府全体,すべての時間帯,2020年12月第5週,都道府県外,-39.067150350
大阪府全体,すべての時間帯,2021年1月第1週,市区町村内,3.534170375
大阪府全体,すべての時間帯,2021年1月第1週,都道府県内,28.052967131
大阪府全体,すべての時間帯,2021年1月第1週,都道府県外,-26.680847654
大阪府全体,すべての時間帯,2021年1月第2週,市区町村内,10.270951708
大阪府全体,すべての時間帯,2021年1月第2週,都道府県内,-18.967937915
大阪府全体,すべての時間帯,2021年1月第2週,都道府県外,-31.807174832
大阪府全体,すべての時間帯,2021年1月第3週,市区町村内,7.441920467
大阪府全体,すべての時間帯,2021年1月第3週,都道府県内,-11.072587209
大阪府全体,すべての時間帯,2021年1月第3週,都道府県外,-32.937944529
大阪府全体,すべての時間帯,2021年1月第4週,市区町村内,8.101387347
大阪府全体,すべての時間帯,2021年1月第4週,都道府県内,-13.461282629
大阪府全体,すべての時間帯,2021年1月第4週,都道府県外,-33.749047697
大阪府全体,すべての時間帯,2021年2月第1週,市区町村内,7.422536694
大阪府全体,すべての時間帯,2021年2月第1週,都道府県内,-12.758552414
大阪府全体,すべての時間帯,2021年2月第1週,都道府県外,-32.695255176
大阪府全体,すべての時間帯,2021年2月第2週,市区町村内,9.093882836
大阪府全体,すべての時間帯,2021年2月第2週,都道府県内,-16.659087141
大阪府全体,すべての時間帯,2021年2月第2週,都道府県外,-35.556516766
大阪府全体,すべての時間帯,2021年2月第3週,市区町村内,4.767494119
大阪府全体,すべての時間帯,2021年2月第3週,都道府県内,-4.973762449
大阪府全体,すべての時間帯,2021年2月第3週,都道府県外,-27.276969971
大阪府全体,すべての時間帯,2021年2月第4週,市区町村内,6.699729505
大阪府全体,すべての時間帯,2021年2月第4週,都道府県内,-10.515960632
大阪府全体,すべての時間帯,2021年2月第4週,都道府県外,-33.614051922
大阪府全体,すべての時間帯,2021年3月第1週,市区町村内,4.776793659
大阪府全体,すべての時間帯,2021年3月第1週,都道府県内,-6.547557672
大阪府全体,すべての時間帯,2021年3月第1週,都道府県外,-23.572847239
大阪府全体,すべての時間帯,2021年3月第2週,市区町村内,3.548774774
大阪府全体,すべての時間帯,2021年3月第2週,都道府県内,-4.643231186
大阪府全体,すべての時間帯,2021年3月第2週,都道府県外,-19.600516385
大阪府全体,すべての時間帯,2021年3月第3週,市区町村内,4.191892963
大阪府全体,すべての時間帯,2021年3月第3週,都道府県内,-6.493503114
大阪府全体,すべての時間帯,2021年3月第3週,都道府県外,-20.371689533
大阪府全体,すべての時間帯,2021年3月第4週,市区町村内,2.113071642
大阪府全体,すべての時間帯,2021年3月第4週,都道府県内,-0.731955416
大阪府全体,すべての時間帯,2021年3月第4週,都道府県外,-16.566535107
大阪府全体,すべての時間帯,2021年4月第1週,市区町村内,4.423164684
大阪府全体,すべての時間帯,2021年4月第1週,都道府県内,-6.298670582
大阪府全体,すべての時間帯,2021年4月第1週,都道府県外,-16.859419037
大阪府全体,すべての時間帯,2021年4月第2週,市区町村内,4.170113628
大阪府全体,すべての時間帯,2021年4月第2週,都道府県内,-5.754961663
大阪府全体,すべての時間帯,2021年4月第2週,都道府県外,-14.619011956
大阪府全体,すべての時間帯,2021年4月第3週,市区町村内,5.601618144
大阪府全体,すべての時間帯,2021年4月第3週,都道府県内,-7.678720684
大阪府全体,すべての時間帯,2021年4月第3週,都道府県外,-25.154211197
大阪府全体,すべての時間帯,2021年4月第4週,市区町村内,6.486134802
大阪府全体,すべての時間帯,2021年4月第4週,都道府県内,-8.998097835
大阪府全体,すべての時間帯,2021年4月第4週,都道府県外,-32.878686183
大阪府全体,すべての時間帯,2021年4月第5週,市区町村内,11.613239698
大阪府全体,すべての時間帯,2021年4月第5週,都道府県内,-21.303422120
大阪府全体,すべての時間帯,2021年4月第5週,都道府県外,-42.275902681
大阪府全体,すべての時間帯,2021年5月第1週,市区町村内,10.502344359
大阪府全体,すべての時間帯,2021年5月第1週,都道府県内,1.689278317
大阪府全体,すべての時間帯,2021年5月第1週,都道府県外,-52.131558837
大阪府全体,すべての時間帯,2021年5月第2週,市区町村内,6.237624181
大阪府全体,すべての時間帯,2021年5月第2週,都道府県内,-8.792948444
大阪府全体,すべての時間帯,2021年5月第2週,都道府県外,-39.151713365
大阪府全体,すべての時間帯,2021年5月第3週,市区町村内,9.219987193
大阪府全体,すべての時間帯,2021年5月第3週,都道府県内,-14.381786038
大阪府全体,すべての時間帯,2021年5月第3週,都道府県外,-46.871637513
大阪府全体,すべての時間帯,2021年5月第4週,市区町村内,7.654356258
大阪府全体,すべての時間帯,2021年5月第4週,都道府県内,-10.754855265
大阪府全体,すべての時間帯,2021年5月第4週,都道府県外,-45.135165925
