代表観測地点,時間帯,期間(週次),滞在人口の推定居住地,2019年同週比 [%]
大阪駅,すべての時間帯,2020年1月第1週,市区町村内,-5.884085146
大阪駅,すべての時間帯,2020年1月第1週,都道府県内,25.825978620
大阪駅,すべての時間帯,2020年1月第1週,都道府県外,32.343641004
大阪駅,すべての時間帯,2020年1月第2週,市区町村内,-12.850440492
大阪駅,すべての時間帯,2020年1月第2週,都道府県内,11.404869312
大阪駅,すべての時間帯,2020年1月第2週,都道府県外,15.620859680
大阪駅,すべての時間帯,2020年1月第3週,市区町村内,-10.996193622
大阪駅,すべての時間帯,2020年1月第3週,都道府県内,18.226165804
大阪駅,すべての時間帯,2020年1月第3週,都道府県外,21.313786311
大阪駅,すべての時間帯,2020年1月第4週,市区町村内,-6.808103311
大阪駅,すべての時間帯,2020年1月第4週,都道府県内,14.121666495
大阪駅,すべての時間帯,2020年1月第4週,都道府県外,15.406207249
大阪駅,すべての時間帯,2020年1月第5週,市区町村内,-13.339841567
大阪駅,すべての時間帯,2020年1月第5週,都道府県内,10.257250451
大阪駅,すべての時間帯,2020年1月第5週,都道府県外,16.187044583
大阪駅,すべての時間帯,2020年2月第1週,市区町村内,-5.724837713
大阪駅,すべての時間帯,2020年2月第1週,都道府県内,10.181045510
大阪駅,すべての時間帯,2020年2月第1週,都道府県外,6.270718416
大阪駅,すべての時間帯,2020年2月第2週,市区町村内,-9.147296925
大阪駅,すべての時間帯,2020年2月第2週,都道府県内,8.725668030
大阪駅,すべての時間帯,2020年2月第2週,都道府県外,6.987628888
大阪駅,すべての時間帯,2020年2月第3週,市区町村内,-8.526301020
大阪駅,すべての時間帯,2020年2月第3週,都道府県内,7.710305488
大阪駅,すべての時間帯,2020年2月第3週,都道府県外,4.315981139
大阪駅,すべての時間帯,2020年2月第4週,市区町村内,-6.563065153
大阪駅,すべての時間帯,2020年2月第4週,都道府県内,-4.438485654
大阪駅,すべての時間帯,2020年2月第4週,都道府県外,-6.405101964
大阪駅,すべての時間帯,2020年3月第1週,市区町村内,-17.720338139
大阪駅,すべての時間帯,2020年3月第1週,都道府県内,-6.823482347
大阪駅,すべての時間帯,2020年3月第1週,都道府県外,-21.462587861
大阪駅,すべての時間帯,2020年3月第2週,市区町村内,-18.665295482
大阪駅,すべての時間帯,2020年3月第2週,都道府県内,-9.601562149
大阪駅,すべての時間帯,2020年3月第2週,都道府県外,-27.050781741
大阪駅,すべての時間帯,2020年3月第3週,市区町村内,-24.958167308
大阪駅,すべての時間帯,2020年3月第3週,都道府県内,-7.082644437
大阪駅,すべての時間帯,2020年3月第3週,都道府県外,-25.443597560
大阪駅,すべての時間帯,2020年3月第4週,市区町村内,-26.063287289
大阪駅,すべての時間帯,2020年3月第4週,都道府県内,-6.208249541
大阪駅,すべての時間帯,2020年3月第4週,都道府県外,-22.885708055
大阪駅,すべての時間帯,2020年4月第1週,市区町村内,-36.447633957
大阪駅,すべての時間帯,2020年4月第1週,都道府県内,-18.942208309
大阪駅,すべての時間帯,2020年4月第1週,都道府県外,-32.865399312
大阪駅,すべての時間帯,2020年4月第2週,市区町村内,-45.436297878
大阪駅,すべての時間帯,2020年4月第2週,都道府県内,-56.103184202
大阪駅,すべての時間帯,2020年4月第2週,都道府県外,-66.174679671
大阪駅,すべての時間帯,2020年4月第3週,市区町村内,-68.863068274
大阪駅,すべての時間帯,2020年4月第3週,都道府県内,-71.163936811
大阪駅,すべての時間帯,2020年4月第3週,都道府県外,-78.939081190
大阪駅,すべての時間帯,2020年4月第4週,市区町村内,-71.849208495
大阪駅,すべての時間帯,2020年4月第4週,都道府県内,-74.265693236
大阪駅,すべての時間帯,2020年4月第4週,都道府県外,-81.837755673
大阪駅,すべての時間帯,2020年4月第5週,市区町村内,-58.606204849
大阪駅,すべての時間帯,2020年4月第5週,都道府県内,-70.034491078
大阪駅,すべての時間帯,2020年4月第5週,都道府県外,-84.120066527
大阪駅,すべての時間帯,2020年5月第1週,市区町村内,-41.924167578
大阪駅,すべての時間帯,2020年5月第1週,都道府県内,-80.932268100
大阪駅,すべての時間帯,2020年5月第1週,都道府県外,-87.423693196
大阪駅,すべての時間帯,2020年5月第2週,市区町村内,-65.659749431
大阪駅,すべての時間帯,2020年5月第2週,都道府県内,-67.724519749
大阪駅,すべての時間帯,2020年5月第2週,都道府県外,-77.279626396
大阪駅,すべての時間帯,2020年5月第3週,市区町村内,-56.930981665
大阪駅,すべての時間帯,2020年5月第3週,都道府県内,-55.990395255
大阪駅,すべての時間帯,2020年5月第3週,都道府県外,-70.816343330
大阪駅,すべての時間帯,2020年5月第4週,市区町村内,-49.211651113
大阪駅,すべての時間帯,2020年5月第4週,都道府県内,-41.341100328
大阪駅,すべての時間帯,2020年5月第4週,都道府県外,-58.495259379
大阪駅,すべての時間帯,2020年6月第1週,市区町村内,39.213603010
大阪駅,すべての時間帯,2020年6月第1週,都道府県内,-35.415004111
大阪駅,すべての時間帯,2020年6月第1週,都道府県外,-58.916033924
大阪駅,すべての時間帯,2020年6月第2週,市区町村内,26.157903728
大阪駅,すべての時間帯,2020年6月第2週,都道府県内,-32.067438564
大阪駅,すべての時間帯,2020年6月第2週,都道府県外,-55.730913026
大阪駅,すべての時間帯,2020年6月第3週,市区町村内,-31.226442009
大阪駅,すべての時間帯,2020年6月第3週,都道府県内,-21.948792497
大阪駅,すべての時間帯,2020年6月第3週,都道府県外,-40.668586181
大阪駅,すべての時間帯,2020年6月第4週,市区町村内,-32.554961324
大阪駅,すべての時間帯,2020年6月第4週,都道府県内,-17.143840208
大阪駅,すべての時間帯,2020年6月第4週,都道府県外,-30.090982788
大阪駅,すべての時間帯,2020年7月第1週,市区町村内,-25.074480879
大阪駅,すべての時間帯,2020年7月第1週,都道府県内,-18.133031402
大阪駅,すべての時間帯,2020年7月第1週,都道府県外,-33.751694336
大阪駅,すべての時間帯,2020年7月第2週,市区町村内,-21.773561321
大阪駅,すべての時間帯,2020年7月第2週,都道府県内,-11.951114931
大阪駅,すべての時間帯,2020年7月第2週,都道府県外,-35.642351620
大阪駅,すべての時間帯,2020年7月第3週,市区町村内,-17.895914052
大阪駅,すべての時間帯,2020年7月第3週,都道府県内,-8.362745934
大阪駅,すべての時間帯,2020年7月第3週,都道府県外,-28.472124170
大阪駅,すべての時間帯,2020年7月第4週,市区町村内,-30.126721608
大阪駅,すべての時間帯,2020年7月第4週,都道府県内,-19.279705438
大阪駅,すべての時間帯,2020年7月第4週,都道府県外,-40.045186991
大阪駅,すべての時間帯,2020年7月第5週,市区町村内,-29.385485218
大阪駅,すべての時間帯,2020年7月第5週,都道府県内,-18.254564211
大阪駅,すべての時間帯,2020年7月第5週,都道府県外,-35.493766930
大阪駅,すべての時間帯,2020年8月第1週,市区町村内,-22.153276391
大阪駅,すべての時間帯,2020年8月第1週,都道府県内,-20.076250042
大阪駅,すべての時間帯,2020年8月第1週,都道府県外,-41.984561423
大阪駅,すべての時間帯,2020年8月第2週,市区町村内,-17.593733184
大阪駅,すべての時間帯,2020年8月第2週,都道府県内,-5.732306804
大阪駅,すべての時間帯,2020年8月第2週,都道府県外,-40.859680599
