代表観測地点,時間帯,期間(週次),滞在人口の推定居住地,2019年同週比 [%]
宝塚駅,すべての時間帯,2020年1月第1週,市区町村内,-8.799589901
宝塚駅,すべての時間帯,2020年1月第1週,都道府県内,-9.934149192
宝塚駅,すべての時間帯,2020年1月第1週,都道府県外,4.341109265
宝塚駅,すべての時間帯,2020年1月第2週,市区町村内,-14.799138918
宝塚駅,すべての時間帯,2020年1月第2週,都道府県内,-2.236269496
宝塚駅,すべての時間帯,2020年1月第2週,都道府県外,23.427576988
宝塚駅,すべての時間帯,2020年1月第3週,市区町村内,-12.700058856
宝塚駅,すべての時間帯,2020年1月第3週,都道府県内,-6.454718555
宝塚駅,すべての時間帯,2020年1月第3週,都道府県外,2.894123818
宝塚駅,すべての時間帯,2020年1月第4週,市区町村内,-11.932710009
宝塚駅,すべての時間帯,2020年1月第4週,都道府県内,9.277474861
宝塚駅,すべての時間帯,2020年1月第4週,都道府県外,0.936844773
宝塚駅,すべての時間帯,2020年1月第5週,市区町村内,-11.487410565
宝塚駅,すべての時間帯,2020年1月第5週,都道府県内,2.223053129
宝塚駅,すべての時間帯,2020年1月第5週,都道府県外,25.163126261
宝塚駅,すべての時間帯,2020年2月第1週,市区町村内,-13.124461822
宝塚駅,すべての時間帯,2020年2月第1週,都道府県内,-2.973490965
宝塚駅,すべての時間帯,2020年2月第1週,都道府県外,-17.620369834
宝塚駅,すべての時間帯,2020年2月第2週,市区町村内,-5.047677561
宝塚駅,すべての時間帯,2020年2月第2週,都道府県内,-6.351283544
宝塚駅,すべての時間帯,2020年2月第2週,都道府県外,-0.150605355
宝塚駅,すべての時間帯,2020年2月第3週,市区町村内,-3.014980559
宝塚駅,すべての時間帯,2020年2月第3週,都道府県内,-2.922875100
宝塚駅,すべての時間帯,2020年2月第3週,都道府県外,6.224229132
宝塚駅,すべての時間帯,2020年2月第4週,市区町村内,-2.995976059
宝塚駅,すべての時間帯,2020年2月第4週,都道府県内,-17.830231599
宝塚駅,すべての時間帯,2020年2月第4週,都道府県外,-26.132876719
宝塚駅,すべての時間帯,2020年3月第1週,市区町村内,-7.431942747
宝塚駅,すべての時間帯,2020年3月第1週,都道府県内,-22.365498472
宝塚駅,すべての時間帯,2020年3月第1週,都道府県外,-51.902770701
宝塚駅,すべての時間帯,2020年3月第2週,市区町村内,-5.503423897
宝塚駅,すべての時間帯,2020年3月第2週,都道府県内,-25.164984731
宝塚駅,すべての時間帯,2020年3月第2週,都道府県外,-43.218102437
宝塚駅,すべての時間帯,2020年3月第3週,市区町村内,-6.981491811
宝塚駅,すべての時間帯,2020年3月第3週,都道府県内,-4.228720109
宝塚駅,すべての時間帯,2020年3月第3週,都道府県外,-28.111313199
宝塚駅,すべての時間帯,2020年3月第4週,市区町村内,-5.668002955
宝塚駅,すべての時間帯,2020年3月第4週,都道府県内,-8.326866155
宝塚駅,すべての時間帯,2020年3月第4週,都道府県外,-30.736117090
宝塚駅,すべての時間帯,2020年4月第1週,市区町村内,-0.616432807
宝塚駅,すべての時間帯,2020年4月第1週,都道府県内,-21.784876362
宝塚駅,すべての時間帯,2020年4月第1週,都道府県外,-50.845495760
宝塚駅,すべての時間帯,2020年4月第2週,市区町村内,5.111669084
宝塚駅,すべての時間帯,2020年4月第2週,都道府県内,-37.635337364
宝塚駅,すべての時間帯,2020年4月第2週,都道府県外,-58.272045612
宝塚駅,すべての時間帯,2020年4月第3週,市区町村内,3.492061654
宝塚駅,すべての時間帯,2020年4月第3週,都道府県内,-48.133187187
宝塚駅,すべての時間帯,2020年4月第3週,都道府県外,-41.065212520
宝塚駅,すべての時間帯,2020年4月第4週,市区町村内,0.672426837
宝塚駅,すべての時間帯,2020年4月第4週,都道府県内,-43.247306632
宝塚駅,すべての時間帯,2020年4月第4週,都道府県外,-59.098755977
宝塚駅,すべての時間帯,2020年4月第5週,市区町村内,5.220593011
宝塚駅,すべての時間帯,2020年4月第5週,都道府県内,-40.613679305
宝塚駅,すべての時間帯,2020年4月第5週,都道府県外,-70.271340350
宝塚駅,すべての時間帯,2020年5月第1週,市区町村内,5.558035460
宝塚駅,すべての時間帯,2020年5月第1週,都道府県内,-64.808317293
宝塚駅,すべての時間帯,2020年5月第1週,都道府県外,-74.868447082
宝塚駅,すべての時間帯,2020年5月第2週,市区町村内,-3.656823352
宝塚駅,すべての時間帯,2020年5月第2週,都道府県内,-45.290713804
宝塚駅,すべての時間帯,2020年5月第2週,都道府県外,-51.701487570
宝塚駅,すべての時間帯,2020年5月第3週,市区町村内,-0.958351199
宝塚駅,すべての時間帯,2020年5月第3週,都道府県内,-40.503499382
宝塚駅,すべての時間帯,2020年5月第3週,都道府県外,-48.003689281
宝塚駅,すべての時間帯,2020年5月第4週,市区町村内,-3.391028888
宝塚駅,すべての時間帯,2020年5月第4週,都道府県内,-28.624254657
宝塚駅,すべての時間帯,2020年5月第4週,都道府県外,-27.225741644
宝塚駅,すべての時間帯,2020年6月第1週,市区町村内,-5.092015317
宝塚駅,すべての時間帯,2020年6月第1週,都道府県内,-34.645886069
宝塚駅,すべての時間帯,2020年6月第1週,都道府県外,-66.938182154
宝塚駅,すべての時間帯,2020年6月第2週,市区町村内,0.812622670
宝塚駅,すべての時間帯,2020年6月第2週,都道府県内,-29.164822029
宝塚駅,すべての時間帯,2020年6月第2週,都道府県外,-55.025505208
宝塚駅,すべての時間帯,2020年6月第3週,市区町村内,-12.993902093
宝塚駅,すべての時間帯,2020年6月第3週,都道府県内,-13.252076890
宝塚駅,すべての時間帯,2020年6月第3週,都道府県外,-44.542181384
宝塚駅,すべての時間帯,2020年6月第4週,市区町村内,-17.151001018
宝塚駅,すべての時間帯,2020年6月第4週,都道府県内,-13.292153398
宝塚駅,すべての時間帯,2020年6月第4週,都道府県外,-43.939047121
宝塚駅,すべての時間帯,2020年7月第1週,市区町村内,-15.016556092
宝塚駅,すべての時間帯,2020年7月第1週,都道府県内,-6.570434582
宝塚駅,すべての時間帯,2020年7月第1週,都道府県外,-24.657672633
宝塚駅,すべての時間帯,2020年7月第2週,市区町村内,-15.476889261
宝塚駅,すべての時間帯,2020年7月第2週,都道府県内,-14.851844679
宝塚駅,すべての時間帯,2020年7月第2週,都道府県外,-24.813996133
宝塚駅,すべての時間帯,2020年7月第3週,市区町村内,-23.703289757
宝塚駅,すべての時間帯,2020年7月第3週,都道府県内,-14.301201519
宝塚駅,すべての時間帯,2020年7月第3週,都道府県外,-7.793528523
宝塚駅,すべての時間帯,2020年7月第4週,市区町村内,-15.880396283
宝塚駅,すべての時間帯,2020年7月第4週,都道府県内,-29.859200047
宝塚駅,すべての時間帯,2020年7月第4週,都道府県外,-2.727643983
宝塚駅,すべての時間帯,2020年7月第5週,市区町村内,-11.189235585
宝塚駅,すべての時間帯,2020年7月第5週,都道府県内,-2.560564951
宝塚駅,すべての時間帯,2020年7月第5週,都道府県外,-17.874518374
宝塚駅,すべての時間帯,2020年8月第1週,市区町村内,-8.241511001
宝塚駅,すべての時間帯,2020年8月第1週,都道府県内,-2.522176700
宝塚駅,すべての時間帯,2020年8月第1週,都道府県外,-38.759720785
宝塚駅,すべての時間帯,2020年8月第2週,市区町村内,-6.932278573
宝塚駅,すべての時間帯,2020年8月第2週,都道府県内,-7.973705750
宝塚駅,すべての時間帯,2020年8月第2週,都道府県外,-20.078677611
宝塚駅,すべての時間帯,2020年8月第3週,市区町村内,-12.545853256
宝塚駅,すべての時間帯,2020年8月第3週,都道府県内,-6.804719889
宝塚駅,すべての時間帯,2020年8月第3週,都道府県外,-2.246249601
宝塚駅,すべての時間帯,2020年8月第4週,市区町村内,-12.086553734
宝塚駅,すべての時間帯,2020年8月第4週,都道府県内,-13.546398884
宝塚駅,すべての時間帯,2020年8月第4週,都道府県外,-8.122703636
宝塚駅,すべての時間帯,2020年9月第1週,市区町村内,-7.852644288
宝塚駅,すべての時間帯,2020年9月第1週,都道府県内,-13.285048833
宝塚駅,すべての時間帯,2020年9月第1週,都道府県外,-19.287973819
宝塚駅,すべての時間帯,2020年9月第2週,市区町村内,-8.608977325
宝塚駅,すべての時間帯,2020年9月第2週,都道府県内,-14.150175619
宝塚駅,すべての時間帯,2020年9月第2週,都道府県外,-21.922360030
宝塚駅,すべての時間帯,2020年9月第3週,市区町村内,-6.259593935
宝塚駅,すべての時間帯,2020年9月第3週,都道府県内,-15.686854775
宝塚駅,すべての時間帯,2020年9月第3週,都道府県外,0.314897244
宝塚駅,すべての時間帯,2020年9月第4週,市区町村内,-6.981709314
宝塚駅,すべての時間帯,2020年9月第4週,都道府県内,-11.840576387
宝塚駅,すべての時間帯,2020年9月第4週,都道府県外,-18.250678372
宝塚駅,すべての時間帯,2020年10月第1週,市区町村内,-2.008738144
宝塚駅,すべての時間帯,2020年10月第1週,都道府県内,6.460738039
宝塚駅,すべての時間帯,2020年10月第1週,都道府県外,-32.690354013
宝塚駅,すべての時間帯,2020年10月第2週,市区町村内,-2.958542215
宝塚駅,すべての時間帯,2020年10月第2週,都道府県内,-11.221825906
宝塚駅,すべての時間帯,2020年10月第2週,都道府県外,-18.048721627
宝塚駅,すべての時間帯,2020年10月第3週,市区町村内,-0.033218528
宝塚駅,すべての時間帯,2020年10月第3週,都道府県内,2.603317020
宝塚駅,すべての時間帯,2020年10月第3週,都道府県外,-17.927244072
宝塚駅,すべての時間帯,2020年10月第4週,市区町村内,-4.269316149
宝塚駅,すべての時間帯,2020年10月第4週,都道府県内,5.633348034
宝塚駅,すべての時間帯,2020年10月第4週,都道府県外,16.043815184
宝塚駅,すべての時間帯,2020年10月第5週,市区町村内,-1.993170190
宝塚駅,すべての時間帯,2020年10月第5週,都道府県内,-1.913170018
宝塚駅,すべての時間帯,2020年10月第5週,都道府県外,-3.651678694
